X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
3944.66,1791.9,1765.96
3957.97,1776.91,1751.06
3971.27,1762.09,1736.36
3984.57,1747.28,1721.65
3997.87,1732.46,1706.94
4011.18,1718.08,1692.48
4024.48,1703.79,1678.08
4037.78,1689.98,1664.34
4051.09,1676.2,1650.62
4064.39,1662.42,1636.91
4077.69,1648.63,1623.2
4090.99,1634.85,1609.48
4104.3,1621.09,1595.79
4117.6,1608.17,1582.91
4130.9,1595.26,1570.03
4144.21,1582.34,1557.15
4157.51,1569.42,1544.27
4170.81,1556.51,1531.38
4184.11,1543.6,1518.51
4197.42,1531.59,1506.56
4210.72,1519.59,1494.6
4224.02,1507.58,1482.64
4237.33,1495.57,1470.69
4250.63,1483.57,1458.73
4263.93,1471.56,1446.77
4277.24,1460.15,1435.42
4290.54,1448.86,1424.18
4303.84,1437.57,1412.94
4317.14,1426.28,1401.69
4330.45,1414.98,1390.45
4343.75,1403.69,1379.21
4357.05,1392.89,1368.44
4370.36,1382.4,1357.99
4383.66,1371.91,1347.53
4396.96,1361.42,1337.08
4410.26,1350.94,1326.63
4423.57,1340.45,1316.17
4436.87,1330.12,1305.88
4450.17,1320.37,1296.16
4463.48,1310.62,1286.44
4476.78,1300.87,1276.72
4490.08,1291.12,1267
4503.38,1281.37,1257.28
4516.69,1271.62,1247.56
4529.99,1262.18,1238.17
4543.29,1252.89,1228.94
4556.6,1243.6,1219.7
4569.9,2321.8,2297.92
4583.2,2306.75,2282.88
4596.5,2291.69,2267.84
4609.81,2276.71,2252.88
4623.11,2262.82,2239.02
4636.41,2248.93,2225.16
4649.72,2235.04,2211.3
4663.02,2221.15,2197.44
4676.32,2207.26,2183.58
4689.63,2193.37,2169.72
4702.93,2179.68,2156.1
4716.23,2166.47,2143.06
4729.53,2153.25,2130.01
4742.84,2140.04,2116.97
4756.14,2126.83,2103.92
4769.44,2113.62,2090.88
4782.75,2100.41,2077.83
4796.05,2087.58,2065.02
4809.35,2075.36,2052.61
4822.65,2063.14,2040.2
4835.96,2050.93,2027.78
4849.26,2038.71,2015.37
4862.56,2531.16,2508.11
4875.87,2516.29,2493.7
4889.17,2501.77,2479.51
4902.47,2488.04,2465.79
4915.77,2474.31,2452.08
4929.08,2460.58,2438.36
4942.38,2446.85,2424.65
4955.68,2433.12,2410.93
4968.99,2419.39,2397.21
4982.29,2405.73,2383.58
4995.59,2392.45,2370.37
5008.9,2377.58,2355.52
5022.2,3368.94,3346.99
5035.5,3346.58,3324.63
5048.8,3324.23,3302.27
5062.11,3301.87,3279.92
5075.41,3279.51,3257.56
5088.71,3258.08,3236.12
5102.02,3236.86,3214.91
5115.32,3215.65,3193.7
5128.62,3194.44,3172.49
5141.92,3173.23,3151.28
5155.23,3152.02,3130.07
5168.53,3130.81,3108.86
5181.83,3109.97,3088.02
5195.14,3348.54,3326.59
5208.44,3327.7,3305.75
5221.74,3306.85,3284.9
5235.04,3286.01,3264.06
5248.35,3265.17,3243.22
5261.65,3244.32,3222.37
5274.95,3223.48,3201.53
5288.26,3203.71,3181.76
5301.56,3184.27,3162.31
5314.86,3164.82,3142.87
5328.17,3145.37,3123.42
5341.47,3125.93,3103.97
5354.77,3106.48,3084.53
5368.07,3557.93,3536.38
5381.38,3534.86,3513.96
5394.68,3514.01,3493.1
5407.98,3493.15,3472.24
5421.29,3472.29,3451.38
5434.59,3451.43,3430.52
5447.89,3430.57,3409.66
5461.19,3409.71,3388.8
5474.5,3388.85,3367.94
5487.8,3368.07,3347.16
5501.1,3348.57,3327.67
5514.41,3329.08,3308.17
5527.71,3309.58,3288.68
5541.01,3290.09,3269.18
5554.31,3270.59,3249.69
5567.62,3251.1,3230.19
5580.92,3231.6,3210.7
5594.22,3212.13,3191.22
5607.53,3193.75,3172.85
5620.83,3175.38,3154.47
5634.13,3157.01,3136.1
5647.44,3138.64,3117.73
5660.74,3120.27,3099.36
5674.04,3101.9,3080.99
5687.34,3083.52,3062.62
5700.65,3065.15,3044.24
5713.95,3047.57,3026.66
5727.25,3258.15,3237.24
5740.56,3240.12,3219.21
5753.86,3222.1,3201.19
5767.16,3204.07,3183.17
5780.46,3186.05,3165.14
5793.77,3168.03,3147.12
5807.07,3150,3129.1
5820.37,3132.35,3111.49
5833.68,3115.24,3094.51
5846.98,3098.14,3077.53
5860.28,3081.03,3060.54
5873.58,3063.92,3043.56
5886.89,3046.82,3026.58
5900.19,3029.71,3009.59
5913.49,3012.61,2992.61
5926.8,2995.5,2975.63
5940.1,2979.55,2959.68
5953.4,2963.71,2943.85
5966.71,2947.87,2928.01
5980.01,2932.03,2912.17
5993.31,2916.2,2896.33
6006.61,2900.06,2880.04
6019.92,2883.62,2863.29
6033.22,2867.19,2846.54
6046.52,2850.92,2830.04
6059.83,2835.38,2814.61
6073.13,2819.84,2799.19
6086.43,2804.3,2783.76
6099.73,2788.75,2768.34
6113.04,2773.21,2752.91
6126.34,2757.67,2737.49
6139.64,2742.13,2722.06
6152.95,2726.58,2706.63
6166.25,2711.24,2691.41
6179.55,2696.52,2676.81
6192.85,2681.81,2662.21
6206.16,2667.09,2647.6
6219.46,2652.37,2633
6232.76,2637.65,2618.4
6246.07,2622.94,2603.8
6259.37,2608.22,2589.2
6272.67,2593.5,2574.59
6285.98,2579.02,2560.22
6299.28,2565.33,2546.66
6312.58,2551.65,2533.09
6325.88,2537.97,2519.52
6339.19,2524.29,2505.95
6352.49,2510.61,2492.39
6365.79,2496.93,2478.82
6379.1,2483.25,2465.25
6392.4,2469.57,2451.68
6405.7,2455.89,2438.12
6419,2443.19,2425.41
6432.31,2430.5,2412.73
6445.61,2417.82,2400.05
