X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
1970.49,41.5559,0.0778808,10061,10102.2,10061
1983.05,41.4853,0.0784892,9911.67,9952.84,9911.67
1995.61,41.4147,0.0790976,9762.29,9803.46,9762.29
2008.17,41.3392,0.0797301,9610.08,9651.25,9610.08
2020.73,41.2745,0.0803303,9468.34,9509.51,9468.34
2033.3,41.2099,0.0809305,9326.59,9367.76,9326.59
2045.86,41.1446,0.0815315,9185.8,9226.97,9185.8
2058.42,41.0753,0.0821363,9050.52,9091.69,9050.52
2070.98,41.006,0.0827412,8915.23,8956.4,8915.23
2083.54,40.9368,0.083346,8779.95,8821.12,8779.95
2096.1,40.8631,0.0839642,8651.34,8692.06,8651.34
2108.66,40.7892,0.0845829,8522.98,8563.24,8522.98
2121.22,40.7153,0.0852016,8394.62,8434.42,8394.62
2133.78,40.6476,0.0858042,8274.79,8314.83,8274.79
2146.34,40.5816,0.0864022,8157.38,8197.87,8157.38
2158.9,40.5157,0.0870003,8039.98,8080.9,8039.98
2171.46,40.4478,0.087606,7925.44,7966.22,7925.44
2184.03,40.3775,0.0882216,7814.62,7854.53,7814.62
2196.59,40.3071,0.0888372,7703.81,7742.84,7703.81
2209.15,40.2373,0.0894515,7593.63,7631.9,7593.63
2221.71,40.1729,0.0900528,7489.69,7528.39,7489.69
2234.27,40.1084,0.0906541,7385.75,7424.88,7385.75
2246.83,40.044,0.0912554,7281.81,7321.36,7281.81
2259.39,39.975,0.091856,7182.53,7222.51,7182.53
2271.95,39.9036,0.0924563,7085.57,7125.97,7085.57
2284.51,39.8322,0.0930565,6988.61,7029.43,6988.61
2297.07,39.7618,0.0936559,6892.82,6933.85,6892.82
2309.63,39.6962,0.094251,6802.94,6843.15,6802.94
2322.19,39.6305,0.0948461,6713.06,6752.45,6713.06
2334.76,39.5648,0.0954412,6623.17,6661.75,6623.17
2347.32,39.4953,0.0960358,6536.77,6575,6536.77
2359.88,39.423,0.09663,6452.86,6491.09,6452.86
2372.44,39.3508,0.0972242,6368.95,6407.17,6368.95
2385,39.2785,0.0978184,6285.03,6323.26,6285.03
2397.56,39.2113,0.0984046,6206.02,6244.25,6206.02
2410.12,39.1445,0.0989901,6127.43,6165.66,6127.43
2422.68,39.0777,0.0995756,6048.84,6087.07,6048.84
2435.24,39.0109,0.100163,5970.95,6009.18,5970.95
2447.8,38.9441,0.10076,5896.29,5934.52,5896.29
2460.36,38.8773,0.101358,5821.63,5859.86,5821.63
2472.93,38.8105,0.101955,5746.97,5785.2,5746.97
2485.49,38.7432,0.102545,5675.12,5713.35,5675.12
2498.05,38.6754,0.103125,5606.9,5645.13,5606.9
2510.61,38.6075,0.103706,5538.68,5576.91,5538.68
2523.17,38.5397,0.104286,5470.46,5508.69,5470.46
2535.73,38.4738,0.104873,5403.85,5442.08,5403.85
2548.29,38.4098,0.105465,5338.65,5376.88,5338.65
2560.85,38.3457,0.106056,5273.44,5311.67,5273.44
2573.41,38.2816,0.106648,5208.23,5246.46,5208.23
2585.97,38.2168,0.10723,5146.49,5184.72,5146.49
2598.53,38.1517,0.107805,5086.74,5124.97,5086.74
2611.09,38.0865,0.108381,5026.99,5065.22,5026.99
2623.66,38.0213,0.108957,4967.23,5005.46,4967.23
2636.22,37.954,0.109537,4909.15,4947.38,4909.15
2648.78,37.8852,0.11012,4852.29,4890.52,4852.29
2661.34,37.8164,0.110703,4795.44,4833.67,4795.44
2673.9,37.7476,0.111286,4738.58,4776.81,4738.58
2686.46,37.6813,0.111867,4683.57,4721.8,4683.57
2699.02,37.6174,0.112446,4630.29,4668.52,4630.29
2711.58,37.5535,0.113025,4577.02,4615.25,4577.02
2724.14,37.4895,0.113604,4523.74,4561.97,4523.74
2736.7,37.4252,0.114177,4472.23,4510.33,4472.23
2749.26,37.3602,0.114742,4423.67,4461.42,4423.67
2761.82,37.2952,0.115306,4375.1,4412.52,4375.1
2774.39,37.2303,0.11587,4326.53,4363.61,4326.53
2786.95,37.165,0.116435,4278.1,4314.88,4278.1
2799.51,37.0966,0.11701,4231.24,4268.37,4231.24
2812.07,37.0282,0.117584,4184.39,4221.85,4184.39
2824.63,36.9598,0.118159,4137.53,4175.34,4137.53
2837.19,36.8914,0.118734,4090.67,4128.83,4090.67
2849.75,36.8275,0.1193,4047.17,4085.14,4047.17
2862.31,36.7648,0.119864,4004.62,4042.27,4004.62
2874.87,36.7021,0.120428,3962.08,3999.39,3962.08
2887.43,36.6395,0.120992,3919.53,3956.52,3919.53
2899.99,36.5772,0.121554,3877.74,3914.5,3877.74
2912.55,36.5156,0.122111,3837.56,3874.32,3837.56
2925.12,36.454,0.122668,3797.39,3834.15,3797.39
2937.68,36.3925,0.123226,3757.21,3793.97,3757.21
2950.24,36.3309,0.123783,3717.03,3753.79,3717.03
2962.8,36.2653,0.124347,3678.46,3714.91,3678.46
2975.36,36.1985,0.124913,3640.35,3676.41,3640.35
2987.92,36.1317,0.125479,3602.23,3637.9,3602.23
3000.48,36.0646,0.126045,3564.12,3599.45,3564.12
3013.04,35.9934,0.126613,3526.51,3562.67,3526.52
3025.6,35.9308,0.127167,3490.3,3526.39,3490.34
3038.16,35.8682,0.127721,3454.08,3490.11,3454.15
3050.72,35.8056,0.128275,3417.86,3453.83,3417.96
3063.28,35.743,0.128829,3381.64,3417.55,3381.78
3075.85,35.681,0.129383,3346.66,3382.5,3346.81
3088.41,35.6194,0.129937,3312.71,3348.49,3312.86
3100.97,35.5579,0.130491,3278.76,3314.48,3278.91
3113.53,35.4963,0.131045,3244.81,3280.47,3244.95
3126.09,35.4347,0.131599,3210.86,3246.45,3211
3138.65,35.3739,0.132151,3178.77,3214.33,3178.9
3151.21,35.3134,0.132702,3147.26,3182.78,3147.35
3163.77,35.2528,0.133253,3115.74,3151.24,3115.8
3176.33,35.1923,0.133804,3084.22,3119.69,3084.25
3188.89,35.1317,0.134355,3052.7,3088.14,3052.7
