X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
4183.68,13.985,13.5647
4193.1,13.891,13.472
4202.52,13.7972,13.3797
4211.94,13.7035,13.2874
4221.36,13.6098,13.1951
4230.78,13.5161,13.1028
4240.2,13.4224,13.0105
4249.62,13.3286,12.9182
4259.04,13.2349,12.8259
4268.46,13.143,12.7353
4277.88,13.056,12.6494
4287.29,12.969,12.5636
4296.71,12.882,12.4777
4306.13,12.795,12.3919
4315.55,12.7081,12.306
4324.97,12.6211,12.2202
4334.39,12.5341,12.1343
4343.81,12.4471,12.0484
4353.23,12.3635,11.9657
4362.65,12.2841,11.8866
4372.07,12.2046,11.8076
4381.49,12.1252,11.7285
4390.91,12.0457,11.6495
4400.33,11.9663,11.5704
4409.74,11.8868,11.4914
4419.16,11.8074,11.4124
4428.58,11.7279,11.3333
4438,11.651,11.257
4447.42,11.5777,11.1845
4456.84,11.5044,11.1119
4466.26,11.431,11.0394
4475.68,11.3577,10.9669
4485.1,11.2843,10.8943
4494.52,11.211,10.8218
4503.94,11.1376,10.7492
4513.35,11.0643,10.6767
4522.77,10.9919,10.6051
4532.19,10.9239,10.5376
4541.61,10.8559,10.4701
4551.03,10.7879,10.4027
4560.45,10.7199,10.3352
4569.87,10.6519,10.2677
4579.29,10.5839,10.2002
4588.71,10.5159,10.1327
4598.13,10.4478,10.0652
4607.55,10.3798,9.99777
4616.97,10.3164,9.93494
4626.38,10.2538,9.87297
4635.8,10.1911,9.811
4645.22,10.1285,9.74903
4654.64,10.0659,9.68705
4664.06,10.0033,9.62508
4673.48,9.94067,9.56311
4682.9,9.87805,9.50114
4692.32,9.81543,9.43916
4701.74,9.75424,9.37865
4711.16,9.69653,9.3217
4720.58,9.63881,9.26474
4730,9.58109,9.20779
4739.41,9.52338,9.15083
4748.83,9.46567,9.09388
4758.25,9.40795,9.03692
4767.67,9.35024,8.97997
4777.09,9.29253,8.92302
4786.51,9.23482,8.86606
4795.93,9.17955,8.81142
4805.35,9.12654,8.7589
4814.77,9.07352,8.70638
4824.19,9.0205,8.65386
4833.61,8.96749,8.60134
4843.02,8.91447,8.54881
4852.44,8.86145,8.49629
4861.86,8.80843,8.44377
4871.28,8.75541,8.39125
4880.7,8.7024,8.33873
4890.12,8.65135,8.28824
4899.54,8.60195,8.23945
4908.96,8.55256,8.19067
4918.38,8.50316,8.14189
4927.8,8.45377,8.09311
4937.22,8.40437,8.04432
4946.64,8.35498,7.99554
4956.06,8.30558,7.94676
4965.47,8.25619,7.89798
4974.89,8.20679,7.84919
4984.31,8.15895,7.80195
4993.73,8.11296,7.75654
5003.15,8.06742,7.71154
5012.57,8.02278,7.66735
5021.99,7.97815,7.62316
5031.41,7.93351,7.57898
5040.83,7.88888,7.53479
5050.25,7.84424,7.4906
5059.67,7.79961,7.44641
5069.08,7.75497,7.40223
5078.5,7.71048,7.35819
5087.92,7.66861,7.31691
5097.34,7.62674,7.27563
5106.76,7.58487,7.23434
5116.18,7.543,7.19306
5125.6,7.50112,7.15178
5135.02,7.45925,7.11049
5144.44,7.41738,7.06921
5153.86,7.37551,7.02792
5163.28,7.33364,6.98664
5172.7,7.29177,6.94536
5182.11,7.25166,6.90577
5191.53,7.21304,6.86761
5200.95,7.17442,6.82945
5210.37,7.1358,6.79129
5219.79,7.09717,6.75313
5229.21,7.05855,6.71497
5238.63,7.01993,6.67681
5248.05,6.98131,6.63865
5257.47,6.94269,6.60049
5266.89,6.90407,6.56233
5276.31,6.86545,6.52417
5285.73,6.82929,6.48856
5295.14,6.79368,6.45352
5304.56,6.75807,6.41847
5313.98,6.72246,6.38343
5323.4,6.68685,6.34838
5332.82,6.65124,6.31334
5342.24,6.61563,6.27829
5351.66,6.58002,6.24325
5361.08,6.54441,6.2082
5370.5,6.5088,6.17316
5379.92,6.47319,6.13811
5389.34,6.44032,6.10569
5398.75,6.4078,6.07362
5408.17,6.37529,6.04154
5417.59,6.34277,6.00946
5427.01,6.31026,5.97739
5436.43,6.27774,5.94531
5445.85,6.24522,5.91324
5455.27,6.21271,5.88116
5464.69,6.18019,5.84909
5474.11,6.14768,5.81701
5483.53,6.11516,5.78493
5492.95,6.08401,5.75428
5502.37,6.05365,5.72446
5511.79,6.02328,5.69465
5521.2,5.99292,5.66483
5530.62,5.96256,5.63501
5540.04,5.9322,5.6052
5549.46,5.90184,5.57538
5558.88,5.87148,5.54556
5568.3,5.84111,5.51574
5577.72,5.81075,5.48592
5587.14,5.78039,5.45611
5596.56,5.75067,5.42693
5605.98,5.72269,5.39948
5615.4,5.6947,5.37202
5624.81,5.66671,5.34457
5634.23,5.63872,5.31711
5643.65,5.61073,5.28966
5653.07,5.58274,5.26221
5662.49,5.55475,5.23475
5671.91,5.52677,5.2073
5681.33,5.49878,5.17984
5690.75,5.47079,5.15239
5700.17,5.4428,5.12493
5709.59,5.4165,5.09908
5719.01,5.39092,5.07392
5728.43,5.36535,5.04877
5737.84,5.33977,5.02361
5747.26,5.3142,4.99845
5756.68,5.28862,4.97329
5766.1,5.26305,4.94813
5775.52,5.23747,4.92297
5784.94,5.2119,4.89781
5794.36,5.18632,4.87265
5803.78,5.16075,4.84749
5813.2,5.13517,4.82233
5822.62,5.11103,4.7986
5832.04,5.08722,4.77521
5841.46,5.06342,4.75182
5850.87,5.03962,4.72843
5860.29,5.01581,4.70504
5869.71,4.99201,4.68164
5879.13,4.96821,4.65825
5888.55,4.94441,4.63486
5897.97,4.9206,4.61147
5907.39,4.8968,4.58808
5916.81,4.87299,4.56469
5926.23,4.84919,4.5413
5935.65,4.82686,4.5193
5945.07,4.80486,4.49763
5954.48,4.78287,4.47596
5963.9,4.76087,4.45429
5973.32,4.73888,4.43262
5982.74,4.71688,4.41095
5992.16,4.69489,4.38928
6001.58,4.67295,4.36769
6011,4.65125,4.34652
6020.42,4.62955,4.32535
6029.84,4.60784,4.30418
6039.26,4.58614,4.28301
6048.68,4.56531,4.26263
6058.1,4.54535,4.24306
6067.52,4.52538,4.22349
6076.93,4.50542,4.20392
6086.35,4.48546,4.18435
6095.77,4.4655,4.16478
6105.19,4.44554,4.14521
6114.61,4.42558,4.12564
6124.03,4.40562,4.10607
6133.45,4.38566,4.0865
6142.87,4.36569,4.06693
6152.29,4.34573,4.04736
6161.71,4.32577,4.02779
6171.13,4.30687,4.00937
6180.54,4.28815,3.99112
6189.96,4.26942,3.97288
6199.38,4.25069,3.95464
6208.8,4.23197,3.9364
6218.22,4.21324,3.91816
6227.64,4.19451,3.89991
6237.06,4.17578,3.88167
6246.48,4.15705,3.86343
6255.9,4.13833,3.84519
6265.32,4.1196,3.82694
6274.74,4.10087,3.8087
6284.16,4.08235,3.79064
6293.57,4.06531,3.77389
6302.99,4.04827,3.75713
6312.41,4.03123,3.74037
6321.83,4.01419,3.72362
6331.25,3.99715,3.70686
6340.67,3.98011,3.6901
6350.09,3.96307,3.67335
6359.51,3.94603,3.65659
6368.93,3.92899,3.63984
6378.35,3.91195,3.62308
6387.77,3.89491,3.60632
6397.19,3.87787,3.58957
6406.6,3.86091,3.57289
6416.02,3.84507,3.55743
6425.44,3.82924,3.54197
6434.86,3.8134,3.5265
6444.28,3.79756,3.51104
6453.7,3.78173,3.49558
6463.12,3.76589,3.48011
6472.54,3.75006,3.46465
6481.96,3.73422,3.44919
6491.38,3.71839,3.43373
6500.8,3.70255,3.41826
6510.21,3.68671,3.4028
6519.63,3.67088,3.38733
6529.05,3.65504,3.37187
6538.47,3.64022,3.35742
6547.89,3.62567,3.34323
6557.31,3.61111,3.32904
6566.73,3.59656,3.31484
6576.15,3.582,3.30065
6585.57,3.56745,3.28646
6594.99,3.55289,3.27227
6604.41,3.53834,3.25808
6613.83,3.52378,3.24389
6623.24,3.50923,3.2297
6632.66,3.49467,3.21551
6642.08,3.48012,3.20131
6651.5,3.46556,3.18712
6660.92,3.45121,3.17316
6670.34,3.43769,3.16008
6679.76,3.42417,3.147
6689.18,3.41064,3.13393
6698.6,3.39712,3.12085
6708.02,3.38359,3.10777
6717.44,3.37007,3.0947
6726.86,3.35654,3.08162
6736.27,3.34301,3.06854
6745.69,3.32949,3.05546
6755.11,3.31597,3.04239
6764.53,3.30244,3.02931
6773.95,3.28892,3.01623
6783.37,3.27539,3.00316
6792.79,3.26234,2.99051
6802.21,3.25,2.97852
6811.63,3.23765,2.96653
6821.05,3.22531,2.95453
6830.47,3.21296,2.94254
6839.89,3.20062,2.93054
6849.3,3.18827,2.91855
6858.72,3.17593,2.90655
6868.14,3.16358,2.89456
6877.56,3.15124,2.88257
6886.98,3.1389,2.87057
6896.4,3.12655,2.85858
6905.82,3.11421,2.84658
6915.24,3.10186,2.83459
6924.66,3.08976,2.82284
6934.08,3.07829,2.81171
6943.5,3.06682,2.80059
6952.92,3.05535,2.78946
6962.33,3.04388,2.77833
6971.75,3.03241,2.76721
6981.17,3.02093,2.75608
6990.59,3.00946,2.74495
7000.01,2.99799,2.73383
7009.43,2.98652,2.7227
7018.85,2.97505,2.71157
7028.27,2.96358,2.70045
7037.69,2.95211,2.68932
7047.11,2.94063,2.67819
7056.53,2.92916,2.66707
7065.95,2.91857,2.65681
7075.36,2.90802,2.6466
7084.78,2.89747,2.63639
7094.2,2.88693,2.62618
7103.62,2.87638,2.61597
7113.04,2.86583,2.60576
7122.46,2.85529,2.59555
7131.88,2.84474,2.58534
7141.3,2.83419,2.57513
7150.72,2.82364,2.56492
7160.14,2.8131,2.55472
7169.56,2.80255,2.54451
7178.97,2.792,2.5343
7188.39,2.78146,2.52409
7197.81,2.77117,2.51411
7207.23,2.76151,2.5047
7216.65,2.75185,2.49529
7226.07,2.74219,2.48587
7235.49,2.73252,2.47646
7244.91,2.72286,2.46704
7254.33,2.7132,2.45763
7263.75,2.70354,2.44821
7273.17,2.69388,2.4388
7282.59,2.68421,2.42939
7292,2.67455,2.41997
7301.42,2.66489,2.41056
7310.84,2.65523,2.40114
7320.26,2.64557,2.39173
7329.68,2.6359,2.38231
7339.1,2.62647,2.37316
7348.52,2.61752,2.36453
7357.94,2.60856,2.35589
7367.36,2.5996,2.34726
7376.78,2.59065,2.33863
7386.2,2.58169,2.33
7395.62,2.57273,2.32137
7405.03,2.56377,2.31274
7414.45,2.55482,2.30411
7423.87,2.54586,2.29548
7433.29,2.5369,2.28684
7442.71,2.52795,2.27821
7452.13,2.51899,2.26958
7461.55,2.51003,2.26095
7470.97,2.50108,2.25232
7480.39,2.49222,2.24378
7489.81,2.48392,2.23581
7499.23,2.47563,2.22783
7508.65,2.46733,2.21986
7518.06,2.45904,2.21188
7527.48,2.45074,2.20391
7536.9,2.44245,2.19593
7546.32,2.43416,2.18796
7555.74,2.42586,2.17998
7565.16,2.41757,2.17201
7574.58,2.40927,2.16403
7584,2.40098,2.15606
7593.42,2.39268,2.14808
7602.84,2.38439,2.1401
7612.26,2.37609,2.13213
7621.68,2.3678,2.12415
7631.09,2.35995,2.11662
7640.51,2.35234,2.10932
7649.93,2.34474,2.10202
7659.35,2.33713,2.09473
7668.77,2.32952,2.08743
7678.19,2.32191,2.08013
7687.61,2.31431,2.07284
7697.03,2.3067,2.06554
7706.45,2.29909,2.05824
7715.87,2.29148,2.05095
7725.29,2.28388,2.04365
7734.71,2.27627,2.03635
7744.12,2.26866,2.02905
7753.54,2.26105,2.02176
7762.96,2.25345,2.01446
7772.38,2.24584,2.00716
7781.8,2.23864,2.00027
7791.22,2.23159,1.99353
7800.64,2.22454,1.98678
7810.06,2.21749,1.98004
7819.48,2.21044,1.9733
7828.9,2.2034,1.96656
7838.32,2.19635,1.95982
7847.73,2.1893,1.95308
7857.15,2.18225,1.94634
7866.57,2.17521,1.9396
7875.99,2.16816,1.93285
7885.41,2.16111,1.92611
7894.83,2.15406,1.91937
7904.25,2.14701,1.91263
7913.67,2.13997,1.90589
7923.09,2.13292,1.89915
7932.51,2.12617,1.89262
7941.93,2.11963,1.88624
7951.35,2.11309,1.87986
7960.76,2.10655,1.87348
7970.18,2.10001,1.8671
7979.6,2.09347,1.86072
7989.02,2.08693,1.85434
7998.44,2.08039,1.84796
8007.86,2.07397,1.8418
8017.28,2.06758,1.8357
8026.7,2.06119,1.82959
8036.12,2.05481,1.82349
8045.54,2.04842,1.81738
8054.96,2.04202,1.81127
8064.38,2.03563,1.80517
8073.79,2.02924,1.79906
8083.21,2.02291,1.79301
8092.63,2.01694,1.78734
8102.05,2.01097,1.78166
8111.47,2.005,1.77599
8120.89,1.99903,1.77031
8130.31,1.99306,1.76464
8139.73,1.98709,1.75896
8149.15,1.98112,1.75329
8158.57,1.97515,1.74761
8167.99,1.96918,1.74194
8177.4,1.96321,1.73627
8186.82,1.95724,1.73059
8196.24,1.95128,1.72492
8205.66,1.94531,1.71924
8215.08,1.93934,1.71357
8224.5,1.93337,1.70789
8233.92,1.9274,1.70222
8243.34,1.9216,1.69668
8252.76,1.9161,1.6914
8262.18,1.9106,1.68612
8271.6,1.90511,1.68084
8281.02,1.89961,1.67556
8290.43,1.89411,1.67028
8299.85,1.88862,1.66501
8309.27,1.88312,1.65973
8318.69,1.87762,1.65445
8328.11,1.87213,1.64917
8337.53,1.86663,1.64389
8346.95,1.86113,1.63861
8356.37,1.85564,1.63333
8365.79,1.85014,1.62805
8375.21,1.84464,1.62277
8384.63,1.83915,1.61749
8394.05,1.83365,1.61221
8403.46,1.82826,1.60705
8412.88,1.82314,1.60222
8422.3,1.81803,1.59739
8431.72,1.81292,1.59256
